partner,warehouse,name_nom,price_deal,product_price,,2020-01,2020-02,2020-03,2021-01,2021-02,2021-03,All
Blue Albion,Матовый Склад,Держатель номерного знака серый пластик MERCEDES о.н.9738800025 (M3100133),240.45227406133333,13.99372085714286,13,0,0,6,0,0,0,6
Blue Albion,Матовый Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),89.80069166266668,21.58250657142857,02,0,0,0,0,6,0,6
Blue acara,Синий Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.191438946666667,134.92861000000002,24,70,0,0,0,0,0,70
Blue corydoras,Малый Склад,Амортизатор кабины VOLVO (M6000518),10.23545062,19.58665592857143,26,0,6,0,0,0,0,6
Blue mbuna,Ораньжевый склад,Амортизатор кабины VOLVO (M6000518),9.491041333333332,19.58665592857143,15,0,0,0,0,6,0,6
Bluefish,Ораньжевый склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),99.65968791933332,34.741461,01,0,0,0,0,6,0,6
Bluefish,Ораньжевый склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),99.65968791933332,34.741461,03,0,0,0,0,6,0,6
Bluefish,Ораньжевый склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),99.65968791933332,34.741461,15,0,0,6,0,0,0,6
Bluefish,Ораньжевый склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),99.65968791933332,34.741461,24,0,0,12,0,0,0,12
Bluefish,Ораньжевый склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),99.65968791933332,34.741461,31,0,0,6,0,0,0,6
Bocconcini,Синий Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),97.8520695173333,34.741461,01,0,0,0,0,12,0,12
Bolson Tortoise,Матовый Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),97.8520695173333,34.741461,20,0,0,0,6,0,0,6
Bongo antelope,Малый Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),273.7110077533334,228.60458085714288,19,0,0,0,0,0,6,6
Bonobo,Зеленый Склад,Амортизатор кабины VOLVO (M6000518),9.958510533333332,19.58665592857143,01,0,0,0,0,0,6,6
Bottle-Nose dolphin,Синий Склад,Амортизатор кабины VOLVO (M6000518),10.869933816,19.58665592857143,22,0,6,0,0,0,0,6
Boulengerochromis microlepsis,Синий Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.8550027800000002,42.75521871428572,12,0,0,0,48,0,0,48
Boulengerochromis microlepsis,Средний Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.992268736,42.75521871428572,08,0,0,0,0,0,60,60
Boursault,Матовый Склад,Амортизатор кабины VOLVO (M6000518),9.68723674,19.58665592857143,22,0,0,0,0,0,6,6
Brazilian water hyacinth,Зеленый Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),320.6330162173333,228.60458085714288,19,0,6,0,0,0,0,6
Brazilian waterweed,Розовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.9907105053333334,42.75521871428572,06,0,0,0,0,0,60,60
Brazilian waterweed,Розовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.9907105053333334,42.75521871428572,19,0,0,0,60,0,0,60
Brazilian waterweed,Розовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.9907105053333334,42.75521871428572,30,0,0,0,0,0,120,120
Brazilian waterweed,Розовый Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.3474036706666666,134.92861000000002,18,0,60,0,0,0,0,60
Brie de Meaux,Малый Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.196113638666666,134.92861000000002,26,0,0,0,0,0,60,60
Bristlenose pleco,Изумрудный Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),300.5944531586667,228.60458085714288,27,0,0,6,0,0,0,6
